"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GCA1",9.63647628952465e-10,0.891626277483118,0.302,0.12,1.32154635834541e-05,"5","GCA"
"PRR13",1.00717584331709e-09,0.409662307007391,0.759,0.467,1.38124095152505e-05,"5","PRR13"
"CORO1A",1.01563106750344e-09,0.418129987246399,0.981,0.795,1.39283644597421e-05,"5","CORO1A"
"PGAM11",1.15050781941326e-09,0.385138012604419,0.481,0.221,1.57780642354335e-05,"5","PGAM1"
"PLIN2",1.66037384930519e-09,0.317415117797893,0.272,0.101,2.27703669693714e-05,"5","PLIN2"
"ERP44",1.69197392143736e-09,0.396205550000309,0.377,0.163,2.32037303585919e-05,"5","ERP44"
"NMI",1.92131957080995e-09,0.399834203447001,0.37,0.162,2.63489765940876e-05,"5","NMI"
"C11orf312",3.19554788832474e-09,0.344143436459499,0.765,0.426,4.38237437404855e-05,"5","C11orf31"
"SERPINB61",3.36403300986409e-09,0.416821153749835,0.401,0.181,4.61343486972762e-05,"5","SERPINB6"
"ZFAND6",3.37646995834754e-09,0.311906520849536,0.358,0.152,4.63049090087781e-05,"5","ZFAND6"
"TNFRSF14",3.74837755170871e-09,0.348764370233796,0.451,0.207,5.14052497441332e-05,"5","TNFRSF14"
"CASP41",3.83245811622705e-09,0.331687055035429,0.574,0.3,5.25583306059378e-05,"5","CASP4"
"NDUFB5",3.91402899200381e-09,0.728178759481732,0.426,0.2,5.36769935963403e-05,"5","NDUFB5"
"MTPN",4.33213688602303e-09,0.361796342132916,0.296,0.12,5.94109252549198e-05,"5","MTPN"
"MT-CO2",4.36715122946366e-09,0.542322395061952,0.969,0.907,5.98911119608647e-05,"5","MT-CO2"
"LSM101",4.71909049049454e-09,0.327644696102088,0.432,0.197,6.47176069866421e-05,"5","LSM10"
"ABRACL1",5.0557683523242e-09,0.521823856476415,0.519,0.267,6.93348071837741e-05,"5","ABRACL"
"ERICH1",5.59711985679757e-09,0.409692909076098,0.272,0.105,7.67589017161219e-05,"5","ERICH1"
"ZNHIT3",5.63238116838949e-09,0.679674900034715,0.364,0.16,7.72424753432935e-05,"5","ZNHIT3"
"ATP5C1",6.17004539569474e-09,0.392144968684297,0.574,0.294,8.46160025565576e-05,"5","ATP5C1"
"MIDN",6.35453791521621e-09,0.477315242159213,0.253,0.098,8.71461329692752e-05,"5","MIDN"
"FAM32A",6.40304541562344e-09,0.360309095746474,0.309,0.132,8.78113648298598e-05,"5","FAM32A"
"MRPL231",8.08277921028736e-09,0.357458525237227,0.549,0.273,0.000110847234089881,"5","MRPL23"
"CD4",8.08406897370204e-09,0.322357644721975,0.272,0.107,0.00011086492190535,"5","CD4"
"ATP5G31",8.95747927735375e-09,0.527232158787501,0.716,0.414,0.000122842870809629,"5","ATP5G3"
"WDR83OS1",9.07371699455147e-09,0.363301993946612,0.617,0.329,0.000124436954863279,"5","WDR83OS"
"PRKCB1",9.71763825022567e-09,0.734716194602792,0.309,0.129,0.000133267690963595,"5","PRKCB"
"NR4A1",1.12068102902905e-08,0.338030928134962,0.253,0.098,0.000153690196321044,"5","NR4A1"
"NDUFB3",1.16235603840997e-08,0.276821548821673,0.309,0.129,0.000159405507107543,"5","NDUFB3"
"RER1",1.16340005221657e-08,0.261829618616312,0.444,0.212,0.000159548683160981,"5","RER1"
"EIF1",1.17785183740179e-08,0.273638063946446,1,0.983,0.000161530600981281,"5","EIF1"
"STX101",1.23957268233409e-08,0.308355060034823,0.321,0.135,0.000169994997655297,"5","STX10"
"TIMM8B",1.44428619688596e-08,0.407910865610534,0.259,0.101,0.000198069409040941,"5","TIMM8B"
"SELK",1.47456086672515e-08,0.406410495811409,0.549,0.276,0.000202221277262687,"5","SELK"
"UPP1",1.493703864849e-08,0.315129710003874,0.321,0.136,0.000204846548025392,"5","UPP1"
"MIR142",1.56510989249387e-08,0.257117106160164,0.358,0.155,0.000214639170656609,"5","MIR142"
"PSMA71",1.74129290794443e-08,0.42415795373635,0.852,0.544,0.0002388009093955,"5","PSMA7"
